Experiment,Strain,Reason,beneficial sectors look like expanding bulges at the front that are not just front roughness,"first look at whole colony images in region imaged. Are there bulges with different shades than non-bulged region under the backlight? If uncertain, then use the brightfield timelapse images to look for bulge in front."
DE5b,1,went out of fov,,
,3,went out of fov,,
,7,went out of fov,,
,12,went out of fov,,
,16,went out of fov,,
,18,beneficial sector,,
,19,beneficial sector,,
,21,went out of fov,,
,22,went out of fov,,
,24,went out of fov,,
,25,went out of fov,,
,26,beneficial sector,,
,27,beneficial sector,,
,31,beneficial sector,,
,33,beneficial sector,,
,34,beneficial sector,,
,35,went out of fov,,
,43,beneficial sector,,
,45,beneficial sector,,
,47,went out of fov,,
,49,beneficial sector,,
,54,beneficial sector,,
,58,beneficial sector,,
,60,"went out of fov, and beneficial sector",,
,61,contamination,,
,64,went out of fov,,
,65,beneficial sector,,
,66,went out of fov,,
,67,beneficial sector,,
,71,beneficial sector,,
,72,went out of fov,,
,74,went out of fov,,
,75,beneficial sector,,
,77,beneficial sector,,
,78,beneficial sector,,
,82,beneficial sector,,
,85,beneficial sector,,
,87,beneficial sector,,
,88,went out of fov,,
,90,beneficial sector,,
,93,beneficial sector,,
,94,"went out of fov, and beneficial sector",,
