Experiment,Strain,Reason,beneficial sectors look like expanding bulges at the front that are not just front roughness,"first look at whole colony images in region imaged. Are there bulges with different shades than non-bulged region under the backlight? If uncertain, then use the brightfield timelapse images to look for bulge in front."
DE3a,0,beneficial sector,,
,1,beneficial sector,,
,6,beneficial sector,,
,9,beneficial sector,,
,11,beneficial sector,,
,13,beneficial sector,,
,24,beneficial sector,,
,26,beneficial sector,,
,28,beneficial sector,,
,34,beneficial sector,,
,40,beneficial sector,,
,41,beneficial sector,,
,45,beneficial sector,,
,47,beneficial sector,,
,49,beneficial sector,,
,51,beneficial sector,,
,56,beneficial sector,,
,57,beneficial sector,,
,58,beneficial sector,,
,62,beneficial sector,,
,63,beneficial sector,,
,65,beneficial sector,,
,66,beneficial sector,,
,68,beneficial sector,,
,71,beneficial sector,,
,73,beneficial sector,,
,83,beneficial sector,,
,84,beneficial sector,,
,87,beneficial sector,,
