Experiment,Strain,Reason,beneficial sectors look like expanding bulges at the front that are not just front roughness,"first look at whole colony images in region imaged. Are there bulges with different shades than non-bulged region under the backlight? If uncertain, then use the brightfield timelapse images to look for bulge in front."
DE4a,1,beneficial sector,,
,4,beneficial sector,,
,6,beneficial sector,,
,8,out of focus,,
,10,out of focus,,
,12,beneficial sector,,
,15,beneficial sector,,
,20,beneficial sector,,
,21,beneficial sector,,
,22,beneficial sector,,
,26,beneficial sector,,
,27,beneficial sector,,
,30,beneficial sector,,
,31,beneficial sector,,
,32,beneficial sector,,
,34,beneficial sector,,
,37,beneficial sector,,
,38,beneficial sector,,
,44,beneficial sector,,
,46,beneficial sector,,
,49,beneficial sector,,
,50,beneficial sector,,
,52,beneficial sector,,
,54,beneficial sector,,
,55,beneficial sector,,
,56,beneficial sector,,
,60,contamination,,
,64,beneficial sector,,
,66,beneficial sector,,
,68,beneficial sector,,
,69,beneficial sector,,
,70,beneficial sector,,
,72,beneficial sector,,
,75,beneficial sector,,
,81,beneficial sector,,
,89,beneficial sector,,
,93,beneficial sector,,
,94,beneficial sector,,
